20160729,0,42055,12805,54860
20160730,1,44489,15078,59567
20160731,1,46882,12522,59404
20160801,0,42761,12844,55605
20160802,0,39144,10567,49711
20160803,0,40013,12165,52178
20160804,0,37494,17403,54897
20160805,0,36190,13347,49537
20160806,1,36488,12468,48956
20160807,1,38759,14439,53198
20160808,0,37825,15492,53317
20160809,0,33406,17659,51065
20160810,0,37533,14424,51957
20160811,0,37858,14352,52210
20160812,0,39394,11270,50664
20160813,1,42244,10813,53057
20160814,1,36786,19222,56008
20160815,1,35830,18765,54595
20160816,0,34313,18030,52343
20160817,0,31945,12493,44438
20160818,0,32093,13618,45711
20160819,0,32723,15927,48650
20160820,1,32324,17418,49742
20160821,1,35980,17724,53704
20160822,0,37091,11410,48501
20160823,0,35784,12945,48729
20160824,0,35540,16674,52214
20160825,0,34945,17538,52483
20160826,0,32596,13711,46307
20160827,1,36477,12878,49355
20160828,1,36734,10995,47729
20160829,0,34897,9644,44541
20160830,0,27307,8795,36102
20160831,0,27733,8372,36105
20160901,0,32719,11919,44638
20160902,0,30321,15235,45556
20160903,1,32234,16913,49147
20160904,1,31175,11496,42671
20160905,0,32663,9685,42348
20160906,0,29187,10200,39387
20160907,0,29141,6510,35651
20160908,0,28667,11317,39984
20160909,0,30179,9286,39465
20160910,1,35479,12440,47919
20160911,1,31396,9532,40928
20160912,0,33100,6207,39307
20160913,0,41314,15255,56569
20160914,1,46138,6952,53090
20160915,1,41605,11114,52719
20160916,1,35591,8572,44163
20160917,1,27174,16854,44028
20160918,1,31595,8964,40559
20160919,0,27481,7081,34562
20160920,0,31603,9358,40961
20160921,0,33557,10072,43629
20160922,0,35457,18114,53571
20160923,0,35749,11959,47708
20160924,1,36343,12344,48687
20160925,1,37073,12431,49504
20160926,0,37400,8829,46229
20160927,0,33122,12095,45217
20160928,0,30470,9912,40382
20160929,0,34524,10922,45446
20160930,0,39921,11501,51422
20161001,1,45672,16973,62645
20161002,1,38757,9178,47935
20161003,1,35915,14169,50084
20161004,0,32672,5102,37774
20161005,0,24749,6998,31747
20161006,0,34239,13328,47567
20161007,0,36098,10578,46676
20161008,1,37262,8346,45608
20161009,1,36176,9412,45588
20161010,0,35248,11991,47239
20161011,0,36703,9160,45863
20161012,0,36095,9857,45952
20161013,0,37762,11352,49114
20161014,0,39629,10265,49894
20161015,1,39508,6881,46389
20161016,1,36106,8538,44644
20161017,0,35238,12005,47243
20161018,0,35430,14377,49807
20161019,0,36391,10619,47010
20161020,0,35914,12993,48907
20161021,0,36704,12892,49596
20161022,1,36780,9218,45998
20161023,1,34405,12970,47375
20161024,0,35061,10775,45836
20161025,0,34291,10788,45079
20161026,0,36518,11930,48448
20161027,0,36786,9707,46493
20161028,0,31708,9237,40945
20161029,1,39213,9566,48779
20161030,1,33910,10905,44815
20161031,0,34219,9273,43492
20161101,0,32632,8798,41430
20161102,0,36510,10770,47280
20161103,0,36587,7402,43989
20161104,0,38278,10318,48596
20161105,1,36708,10060,46768
20161106,1,34803,9847,44650
20161107,0,33794,5354,39148
20161108,0,29964,6448,36412
20161109,0,32576,6167,38743
20161110,0,36408,8811,45219
20161111,0,38914,9474,48388
20161112,1,37475,7190,44665
20161113,1,34529,9270,43799
20161114,0,32294,4511,36805
20161115,0,28795,4590,33385
20161116,0,32033,6309,38342
20161117,0,34353,11243,45596
20161118,0,37938,9697,47635
20161119,1,37269,6478,43747
20161120,1,33804,9076,42880
20161121,0,30971,5662,36633
20161122,0,27060,7169,34229
20161123,0,28478,5698,34176
20161124,0,33830,5926,39756
20161125,0,37090,8712,45802
20161126,1,35524,7078,42602
20161127,1,31590,11113,42703
20161128,0,29520,3907,33427
20161129,0,23176,8634,31810
20161130,0,21951,8369,30320
20161201,0,31286,6527,37813
20161202,0,33365,6506,39871
20161203,1,29902,8134,38036
20161204,1,29552,7867,37419
20161205,0,29524,6410,35934
20161206,0,24815,6989,31804
20161207,0,25161,6284,31445
20161208,0,32204,6288,38492
20161209,0,32310,7405,39715
20161210,1,32620,5802,38422
20161211,1,30124,9081,39205
20161212,0,27564,6111,33675
20161213,0,24697,6805,31502
20161214,0,27170,5278,32448
20161215,0,26775,4490,31265
20161216,0,31883,5309,37192
20161217,1,35179,4179,39358
20161218,1,31297,7235,38532
20161219,0,31389,6849,38238
20161220,0,26814,10104,36918
20161221,0,26457,7692,34149
20161222,0,29474,5512,34986
20161223,0,28976,6079,35055
20161224,1,32327,12815,45142
20161225,1,33549,4709,38258
20161226,0,33806,7418,41224
20161227,0,33597,4491,38088
20161228,0,34653,9999,44652
20161229,0,34855,8398,43253
20161230,0,35376,11488,46864
20161231,1,35440,9466,44906
20170101,1,30896,9659,40555
20170102,0,34498,5567,40065
20170103,0,34491,6959,41450
20170104,0,33430,7071,40501
20170105,0,34148,5882,40030
20170106,0,32200,9041,41241
20170107,1,33189,4973,38162
20170108,1,33039,6843,39882
20170109,0,34496,5194,39690
20170110,0,32202,5877,38079
20170111,0,31318,7184,38502
20170112,0,34425,6214,40639
20170113,0,33395,4203,37598
20170114,1,35014,8821,43835
20170115,1,34287,3790,38077
20170116,0,34546,7716,42262
20170117,0,32538,5916,38454
20170118,0,30791,12151,42942
20170119,0,33260,6067,39327
20170120,0,29181,4215,33396
20170121,1,29724,9398,39122
20170122,1,28187,7238,35425
20170123,0,27066,3966,31032
20170124,0,23322,11668,34990
20170125,0,30405,7283,37688
20170126,0,35224,9621,44845
20170127,1,39992,11076,51068
20170128,1,32000,4632,36632
20170129,1,33661,10759,44420
20170130,1,33629,5188,38817
20170131,0,32550,7811,40361
20170201,0,32900,4899,37799
20170202,0,29895,7992,37887
20170203,0,28093,13915,42008
20170204,1,28773,6565,35338
20170205,1,27800,5756,33556
20170206,0,30277,5768,36045
20170207,0,29675,14103,43778
20170208,0,27826,5081,32907
20170209,0,30272,5559,35831
20170210,0,29924,5072,34996
20170211,1,32984,5149,38133
20170212,1,34384,8114,42498
20170213,0,35041,10912,45953
20170214,0,34068,4346,38414
20170215,0,34798,8472,43270
20170216,0,34205,4921,39126
20170217,0,36746,8281,45027
20170218,1,36850,6050,42900
20170219,1,32205,9372,41577
20170220,0,38348,7075,45423
20170221,0,35130,7493,42623
20170222,0,34708,6267,40975
20170223,0,35355,5097,40452
20170224,0,36446,6511,42957
20170225,1,36273,9655,45928
20170226,1,33554,8022,41576
20170227,0,29692,7097,36789
20170228,0,17226,6605,23831
20170301,1,27652,3717,31369
20170302,0,54959,8493,63452
20170303,0,30616,7470,38086
20170304,1,29697,5874,35571
20170305,1,26568,6775,33343
20170306,0,28015,5212,33227
20170307,0,24624,3116,27740
20170308,0,24230,3025,27255
20170309,0,29131,5159,34290
20170310,0,33820,3473,37293
20170311,1,32573,2853,35426
20170312,1,28831,5028,33859
20170313,0,29252,3951,33203
20170314,0,29631,1711,31342
20170315,0,27733,9855,37588
20170316,0,34424,2126,36550
20170317,0,38493,4006,42499
20170318,1,37189,2075,39264
20170319,1,33691,1890,35581
20170320,0,34540,1959,36499
20170321,0,33722,1648,35370
20170322,0,32549,1974,34523
20170323,0,36543,1804,38347
20170324,0,38040,1880,39920
20170325,1,38758,1848,40606
20170326,1,37018,2230,39248
20170327,0,37630,2118,39748
20170328,0,35757,2367,38124
20170329,0,35962,3305,39267
20170330,0,37724,2377,40101
20170331,0,40984,2143,43127
20170401,1,42405,3120,45525
20170402,1,38200,4793,42993
20170403,0,39552,2752,42304
20170404,0,35616,2895,38511
20170405,0,34854,2911,37765
20170406,0,38616,2524,41140
20170407,0,42983,2764,45747
20170408,1,42784,2893,45677
20170409,1,39612,2955,42567
20170410,0,39064,2868,41932
20170411,0,38199,2845,41044
20170412,0,36752,2854,39606
20170413,0,41789,2759,44548
20170414,0,42252,3739,45991
20170415,1,41071,3395,44466
20170416,1,37350,3327,40677
20170417,0,38886,3497,42383
20170418,0,36130,3371,39501
20170419,0,36690,4698,41388
20170420,0,41808,3197,45005
20170421,0,42632,3581,46213
20170422,1,42386,3680,46066
20170423,1,38722,3103,41825
20170424,0,39807,3103,42910
20170425,0,36510,2933,39443
20170426,0,40158,3316,43474
20170427,0,41639,2692,44331
20170428,0,44438,3394,47832
20170429,1,47821,3381,51202
20170430,1,46743,3193,49936
20170501,0,43086,3107,46193
20170502,0,44306,3052,47358
20170503,1,47981,3525,51506
20170504,0,45197,2952,48149
20170505,1,44758,2178,46936
20170506,1,35259,3320,38579
20170507,1,33984,3003,36987
20170508,0,28920,2739,31659
20170509,0,36572,1699,38271
20170510,0,37830,2012,39842
20170511,0,36243,2163,38406
20170512,0,37866,2161,40027
20170513,1,38980,2544,41524
20170514,1,38205,2301,40506
20170515,0,41412,2420,43832
20170516,0,38872,2386,41258
20170517,0,40308,2483,42791
20170518,0,39479,2129,41608
20170519,0,40210,2419,42629
20170520,1,40710,2794,43504
20170521,1,37782,2208,39990
20170522,0,39782,2554,42336
20170523,0,36690,2305,38995
20170524,0,38226,3023,41249
20170525,0,39019,2621,41640
20170526,0,41178,2762,43940
20170527,1,41445,3156,44601
